iteracao,index,views,tabelas_temporarias,operacao,variacao,tempo
0,0,0,0,pertinencia,0,"37,06265998"
1,0,0,0,pertinencia,0,"36,77391076"
2,0,0,0,pertinencia,0,"40,45784664"
3,0,0,0,pertinencia,0,"40,0401206"
4,0,0,0,pertinencia,0,"39,83505344"
5,0,0,0,pertinencia,0,"49,33699036"
6,0,0,0,pertinencia,0,"41,638978"
7,0,0,0,pertinencia,0,"43,73006797"
8,0,0,0,pertinencia,0,"41,2040298"
9,0,0,0,pertinencia,0,"40,50920248"
10,0,0,0,pertinencia,0,"40,16378236"
11,0,0,0,pertinencia,0,"38,13253069"
12,0,0,0,pertinencia,0,"40,31821108"
13,0,0,0,pertinencia,0,"40,63066959"
14,0,0,0,pertinencia,0,"38,31227851"
15,0,0,0,pertinencia,0,"40,86599398"
16,0,0,0,pertinencia,0,"40,69424653"
17,0,0,0,pertinencia,0,"42,27258539"
18,0,0,0,pertinencia,0,"41,64103556"
19,0,0,0,pertinencia,0,"40,72296047"
20,0,0,0,pertinencia,0,"41,53111267"
21,0,0,0,pertinencia,0,"39,56600046"
22,0,0,0,pertinencia,0,"40,40622258"
23,0,0,0,pertinencia,0,"39,91455936"
24,0,0,0,pertinencia,0,"40,18017483"
25,0,0,0,pertinencia,0,"40,43691278"
26,0,0,0,pertinencia,0,"40,05575109"
27,0,0,0,pertinencia,0,"40,4788816"
28,0,0,0,pertinencia,0,"40,61267662"
29,0,0,0,pertinencia,0,"40,9856329"
0,0,0,0,dist_max_pt_med,0,"169,8784699"
1,0,0,0,dist_max_pt_med,0,"166,8587811"
2,0,0,0,dist_max_pt_med,0,"165,5586202"
3,0,0,0,dist_max_pt_med,0,"168,8220675"
4,0,0,0,dist_max_pt_med,0,"166,1782672"
5,0,0,0,dist_max_pt_med,0,"165,8670621"
6,0,0,0,dist_max_pt_med,0,"165,6074922"
7,0,0,0,dist_max_pt_med,0,"167,3898273"
8,0,0,0,dist_max_pt_med,0,"167,3366861"
9,0,0,0,dist_max_pt_med,0,"166,5525959"
10,0,0,0,dist_max_pt_med,0,"167,2416828"
11,0,0,0,dist_max_pt_med,0,"165,0705924"
12,0,0,0,dist_max_pt_med,0,"165,5959034"
13,0,0,0,dist_max_pt_med,0,"165,7555153"
14,0,0,0,dist_max_pt_med,0,"165,9057043"
15,0,0,0,dist_max_pt_med,0,"165,8969467"
16,0,0,0,dist_max_pt_med,0,"166,5133698"
17,0,0,0,dist_max_pt_med,0,"164,8288972"
18,0,0,0,dist_max_pt_med,0,"165,3777978"
19,0,0,0,dist_max_pt_med,0,"165,1780369"
20,0,0,0,dist_max_pt_med,0,"167,4368336"
21,0,0,0,dist_max_pt_med,0,"165,9306514"
22,0,0,0,dist_max_pt_med,0,"168,2199411"
23,0,0,0,dist_max_pt_med,0,"167,0789108"
24,0,0,0,dist_max_pt_med,0,"165,9753487"
25,0,0,0,dist_max_pt_med,0,"165,3900969"
26,0,0,0,dist_max_pt_med,0,"165,2373648"
27,0,0,0,dist_max_pt_med,0,"164,423641"
28,0,0,0,dist_max_pt_med,0,"165,5571241"
29,0,0,0,dist_max_pt_med,0,"165,8195224"
0,0,0,0,dist_pt_med,0,"113,688426"
1,0,0,0,dist_pt_med,0,"112,8111496"
2,0,0,0,dist_pt_med,0,"112,7395828"
3,0,0,0,dist_pt_med,0,"115,0047789"
4,0,0,0,dist_pt_med,0,"113,6624966"
5,0,0,0,dist_pt_med,0,"113,6676528"
6,0,0,0,dist_pt_med,0,"112,5443945"
7,0,0,0,dist_pt_med,0,"113,1473422"
8,0,0,0,dist_pt_med,0,"112,3634155"
9,0,0,0,dist_pt_med,0,"113,0519187"
10,0,0,0,dist_pt_med,0,"113,3771362"
11,0,0,0,dist_pt_med,0,"112,7672706"
12,0,0,0,dist_pt_med,0,"113,7738531"
13,0,0,0,dist_pt_med,0,"113,138212"
14,0,0,0,dist_pt_med,0,"114,1954267"
15,0,0,0,dist_pt_med,0,"113,3767846"
16,0,0,0,dist_pt_med,0,"113,4492433"
17,0,0,0,dist_pt_med,0,"114,38518"
18,0,0,0,dist_pt_med,0,"113,6766636"
19,0,0,0,dist_pt_med,0,"116,9322984"
20,0,0,0,dist_pt_med,0,"120,8613129"
21,0,0,0,dist_pt_med,0,"155,9510016"
22,0,0,0,dist_pt_med,0,"146,5949862"
23,0,0,0,dist_pt_med,0,"137,5981896"
24,0,0,0,dist_pt_med,0,"131,1912274"
25,0,0,0,dist_pt_med,0,"132,2840197"
26,0,0,0,dist_pt_med,0,"129,3794374"
27,0,0,0,dist_pt_med,0,"132,8236611"
28,0,0,0,dist_pt_med,0,"126,3073266"
29,0,0,0,dist_pt_med,0,"126,775856"
0,0,0,0,dist_max_api,0,"120,719845"
1,0,0,0,dist_max_api,0,"122,165859"
2,0,0,0,dist_max_api,0,"116,945322"
3,0,0,0,dist_max_api,0,"121,706987"
4,0,0,0,dist_max_api,0,"118,728314"
5,0,0,0,dist_max_api,0,"123,357132"
6,0,0,0,dist_max_api,0,"116,978456"
7,0,0,0,dist_max_api,0,"118,938475"
8,0,0,0,dist_max_api,0,"119,540738"
9,0,0,0,dist_max_api,0,"120,932085"
10,0,0,0,dist_max_api,0,"119,098347"
