sistema,iteracao,index,views,tabelas_temporarias,operacao,variacao,tempo
POSTGIS,0,None,None,None,PERT,None,"37,0626599788665"
POSTGIS,1,None,None,None,PERT,None,"36,7739107608795"
POSTGIS,2,None,None,None,PERT,None,"40,4578466415405"
POSTGIS,3,None,None,None,PERT,None,"40,0401206016540"
POSTGIS,4,None,None,None,PERT,None,"39,8350534439086"
POSTGIS,5,None,None,None,PERT,None,"49,3369903564453"
POSTGIS,6,None,None,None,PERT,None,"41,6389780044555"
POSTGIS,7,None,None,None,PERT,None,"43,7300679683685"
POSTGIS,8,None,None,None,PERT,None,"41,2040297985076"
POSTGIS,9,None,None,None,PERT,None,"40,5092024803161"
POSTGIS,10,None,None,None,PERT,None,"40,1637823581695"
POSTGIS,11,None,None,None,PERT,None,"38,1325306892395"
POSTGIS,12,None,None,None,PERT,None,"40,3182110786438"
POSTGIS,13,None,None,None,PERT,None,"40,6306695938110"
POSTGIS,14,None,None,None,PERT,None,"38,3122785091400"
POSTGIS,15,None,None,None,PERT,None,"40,8659939765930"
POSTGIS,16,None,None,None,PERT,None,"40,6942465305328"
POSTGIS,17,None,None,None,PERT,None,"42,2725853919982"
POSTGIS,18,None,None,None,PERT,None,"41,6410355567932"
POSTGIS,19,None,None,None,PERT,None,"40,7229604721069"
POSTGIS,20,None,None,None,PERT,None,"41,5311126708984"
POSTGIS,21,None,None,None,PERT,None,"39,5660004615783"
POSTGIS,22,None,None,None,PERT,None,"40,4062225818634"
POSTGIS,23,None,None,None,PERT,None,"39,9145593643188"
POSTGIS,24,None,None,None,PERT,None,"40,1801748275756"
POSTGIS,25,None,None,None,PERT,None,"40,4369127750396"
POSTGIS,26,None,None,None,PERT,None,"40,0557510852813"
POSTGIS,27,None,None,None,PERT,None,"40,4788815975189"
POSTGIS,28,None,None,None,PERT,None,"40,6126766204834"
POSTGIS,29,None,None,None,PERT,None,"40,9856328964233"
POSTGIS,0,None,None,None,DMAX_PM,None,"169,8784699440000"
POSTGIS,1,None,None,None,DMAX_PM,None,"166,8587810993190"
POSTGIS,2,None,None,None,DMAX_PM,None,"165,5586202144620"
POSTGIS,3,None,None,None,DMAX_PM,None,"168,8220674991600"
POSTGIS,4,None,None,None,DMAX_PM,None,"166,1782672405240"
POSTGIS,5,None,None,None,DMAX_PM,None,"165,8670620918270"
POSTGIS,6,None,None,None,DMAX_PM,None,"165,6074922084800"
POSTGIS,7,None,None,None,DMAX_PM,None,"167,3898272514340"
POSTGIS,8,None,None,None,DMAX_PM,None,"167,3366861343380"
POSTGIS,9,None,None,None,DMAX_PM,None,"166,5525958538050"
POSTGIS,10,None,None,None,DMAX_PM,None,"167,2416827678680"
POSTGIS,11,None,None,None,DMAX_PM,None,"165,0705924034110"
POSTGIS,12,None,None,None,DMAX_PM,None,"165,5959033966060"
POSTGIS,13,None,None,None,DMAX_PM,None,"165,7555153369900"
POSTGIS,14,None,None,None,DMAX_PM,None,"165,9057042598720"
POSTGIS,15,None,None,None,DMAX_PM,None,"165,8969466686240"
POSTGIS,16,None,None,None,DMAX_PM,None,"166,5133697986600"
POSTGIS,17,None,None,None,DMAX_PM,None,"164,8288972377770"
POSTGIS,18,None,None,None,DMAX_PM,None,"165,3777978420250"
POSTGIS,19,None,None,None,DMAX_PM,None,"165,1780369281760"
POSTGIS,20,None,None,None,DMAX_PM,None,"167,4368336200710"
POSTGIS,21,None,None,None,DMAX_PM,None,"165,9306514263150"
POSTGIS,22,None,None,None,DMAX_PM,None,"168,2199411392210"
POSTGIS,23,None,None,None,DMAX_PM,None,"167,0789108276360"
POSTGIS,24,None,None,None,DMAX_PM,None,"165,9753487110130"
POSTGIS,25,None,None,None,DMAX_PM,None,"165,3900969028470"
POSTGIS,26,None,None,None,DMAX_PM,None,"165,2373647689810"
POSTGIS,27,None,None,None,DMAX_PM,None,"164,4236409664150"
POSTGIS,28,None,None,None,DMAX_PM,None,"165,5571241378780"
POSTGIS,29,None,None,None,DMAX_PM,None,"165,8195223808280"
POSTGIS,0,None,None,None,D_PM,None,"113,6884260177610"
POSTGIS,1,None,None,None,D_PM,None,"112,8111495971670"
POSTGIS,2,None,None,None,D_PM,None,"112,7395827770230"
POSTGIS,3,None,None,None,D_PM,None,"115,0047788619990"
POSTGIS,4,None,None,None,D_PM,None,"113,6624965667720"
POSTGIS,5,None,None,None,D_PM,None,"113,6676528453820"
POSTGIS,6,None,None,None,D_PM,None,"112,5443944931030"
POSTGIS,7,None,None,None,D_PM,None,"113,1473422050470"
POSTGIS,8,None,None,None,D_PM,None,"112,3634154796600"
POSTGIS,9,None,None,None,D_PM,None,"113,0519187450400"
POSTGIS,10,None,None,None,D_PM,None,"113,3771362304680"
POSTGIS,11,None,None,None,D_PM,None,"112,7672705650320"
POSTGIS,12,None,None,None,D_PM,None,"113,7738530635830"
POSTGIS,13,None,None,None,D_PM,None,"113,1382119655600"
POSTGIS,14,None,None,None,D_PM,None,"114,1954267024990"
POSTGIS,15,None,None,None,D_PM,None,"113,3767845630640"
POSTGIS,16,None,None,None,D_PM,None,"113,4492433071130"
POSTGIS,17,None,None,None,D_PM,None,"114,3851799964900"
POSTGIS,18,None,None,None,D_PM,None,"113,6766636371610"
POSTGIS,19,None,None,None,D_PM,None,"116,9322984218590"
POSTGIS,20,None,None,None,D_PM,None,"120,8613128662100"
POSTGIS,21,None,None,None,D_PM,None,"155,9510016441340"
POSTGIS,22,None,None,None,D_PM,None,"146,5949862003320"
POSTGIS,23,None,None,None,D_PM,None,"137,5981895923610"
POSTGIS,24,None,None,None,D_PM,None,"131,1912274360650"
