,Expressão,Abreviatura
0,Alameda,AL
1,Avenida,AV
2,Azinhaga,AZ
3,Bairro,BR
4,Beco,BC
5,Calçada,CC
6,Calçadinha,CCNH
7,Caminho,CAM
8,Casa,CS
9,Conjunto,CJ
10,Escadas,ESC
11,Escadinhas,ESCNH
12,Estrada,ESTR
13,Jardim,JD
14,Largo,LG
15,Loteamento,LOT
16,Parque,PQ
17,Pátio,PAT
18,Praça,PC
19,Praceta,PCT
20,Prolongamento,PRL
21,Quadra,QD
22,Rotunda,ROT
23,Rua,R
24,Transversal,TRANSV
25,Travessa,TV
26,Urbanização,URB
27,Vila,VL
28,Zona,ZN
29,Cave,CV
30,Direito,DTO
31,Esquerdo,ESQ
32,Frente,FT
33,Fundos,FDS
34,Habitação,HAB
35,Loja,LJ
36,Rés-do-chão,RC
37,Sobreloja,SLJ
38,Subcave,SCV
39,Apartamento,APTO
40,Bloco,BL
41,Edifício,EDF
42,Lote,LT
43,Torre,TR
44,Vivenda,VV
45,Alferes,ALF
46,Almirante,ALM
47,Arquiteto,ARQ
48,Brigadeiro,BRIG
49,Capitão,CAP
50,Comandante,CMDT
51,Comendador,COMEND
52,Conselheiro,CONS
53,Coronel,CEL
54,Dom,D
55,Dona,DA
56,Doutor,DR
57,Doutora,DR
58,Duque,DQ
59,Embaixador,EMB
60,Engenheira,ENG
61,Engenheiro,ENG
62,Frei,FR
63,General,GEN
64,Infante,INF
65,Marquês,MQ
66,Presidente,PRES
67,Professor,PROF
68,Professora,PROF
69,São,S
70,Sargento,SARG
71,Tenente,TEN
72,Visconde,VISC
73,Associação,ASS
74,Instituto,INST
75,Lugar,LUG
76,Ministério,MIN
77,Projetada,PROJ
78,Sala,SL
79,Sem Número,SN
80,Sociedade,SOC
81,Universidade,UNIV
